,catg_no,category2_no,category1_name,category2_name,category3_no,category3_name,href
80103,8,1k5i,游戏,技术开发,0103,游戏后端开发,https://www.lagou.com/zhaopin/youxihouduankaifa/
80104,8,1k5i,游戏,技术开发,0104,C++游戏开发,https://www.lagou.com/zhaopin/C%2B%2Byouxikaifa/
80105,8,1k5i,游戏,技术开发,0105,FLASH,https://www.lagou.com/zhaopin/youxiflash/
80106,8,1k5i,游戏,技术开发,0106,COCOS2D-X,https://www.lagou.com/zhaopin/COCOS2D-X1/
80107,8,1k5i,游戏,技术开发,0107,U3D,https://www.lagou.com/zhaopin/youxiU3D/
80108,8,1k5i,游戏,技术开发,0108,游戏测试,https://www.lagou.com/zhaopin/youxiyouxiceshi/
80201,8,1k5i,游戏,产品策划,0201,游戏制作人,https://www.lagou.com/zhaopin/youxizhipianren/
80202,8,1k5i,游戏,产品策划,0202,游戏产品经理,https://www.lagou.com/zhaopin/youxichanpinjingli/
80203,8,1k5i,游戏,产品策划,0203,游戏项目经理,https://www.lagou.com/zhaopin/youxixiangmujingli/
80204,8,1k5i,游戏,产品策划,0204,游戏策划,https://www.lagou.com/zhaopin/youxiyouxicehua/
80205,8,1k5i,游戏,产品策划,0205,剧情设计,https://www.lagou.com/zhaopin/juqingsheji/
80206,8,1k5i,游戏,产品策划,0206,游戏文案,https://www.lagou.com/zhaopin/youxiwenan/
80301,8,1k5i,游戏,设计,0301,游戏动画,https://www.lagou.com/zhaopin/youxidonghua/
80302,8,1k5i,游戏,设计,0302,游戏原画,https://www.lagou.com/zhaopin/youxiyuanhua/
80303,8,1k5i,游戏,设计,0303,游戏界面,https://www.lagou.com/zhaopin/youxijiemian/
80304,8,1k5i,游戏,设计,0304,游戏场景,https://www.lagou.com/zhaopin/youxichangjing1/
80305,8,1k5i,游戏,设计,0305,游戏角色,https://www.lagou.com/zhaopin/youxijuese/
80306,8,1k5i,游戏,设计,0306,游戏动作,https://www.lagou.com/zhaopin/youxidongzuo1/
80307,8,1k5i,游戏,设计,0307,游戏动效,https://www.lagou.com/zhaopin/youxidongxiao/
80308,8,1k5i,游戏,设计,0308,游戏美工,https://www.lagou.com/zhaopin/youximeigong/
80401,8,1k5i,游戏,运营/推广,0401,游戏运营,https://www.lagou.com/zhaopin/youxiyunying1/
80402,8,1k5i,游戏,运营/推广,0402,游戏编辑,https://www.lagou.com/zhaopin/youxibianji/
80403,8,1k5i,游戏,运营/推广,0403,游戏推广,https://www.lagou.com/zhaopin/youxituiguang/
80404,8,1k5i,游戏,运营/推广,0404,手游推广,https://www.lagou.com/zhaopin/shouyoutuiguang/
80405,8,1k5i,游戏,运营/推广,0405,页游推广,https://www.lagou.com/zhaopin/yeyoutuiguang/
80501,8,1k5i,游戏,其他,0501,游戏主播,https://www.lagou.com/zhaopin/youxizhuobo/
80502,8,1k5i,游戏,其他,0502,游戏陪练,https://www.lagou.com/zhaopin/youxipeilian/
80503,8,1k5i,游戏,其他,0503,游戏体验,https://www.lagou.com/zhaopin/youxitiyan/
80504,8,1k5i,游戏,其他,0504,电竞主持,https://www.lagou.com/zhaopin/dianjingzhuchi/
80505,8,1k5i,游戏,其他,0505,电竞讲师,https://www.lagou.com/zhaopin/dianjingjiangshi/
